Group,Letter,Participant,Accuracy
Non-Mediated,A,1,100
Non-Mediated,A,2,100
Non-Mediated,A,3,100
Non-Mediated,A,4,100
Non-Mediated,A,5,100
Non-Mediated,A,6,100
Non-Mediated,A,7,100
Non-Mediated,A,8,100
Non-Mediated,A,9,100
Non-Mediated,A,10,100
Non-Mediated,A,11,100
Non-Mediated,A,12,100
Non-Mediated,A,13,100
Non-Mediated,A,14,100
Non-Mediated,A,15,100
Non-Mediated,A,16,100
Non-Mediated,A,17,100
Non-Mediated,A,18,100
Non-Mediated,B,1,100
Non-Mediated,B,2,100
Non-Mediated,B,3,100
Non-Mediated,B,4,0
Non-Mediated,B,5,100
Non-Mediated,B,6,100
Non-Mediated,B,7,100
Non-Mediated,B,8,0
Non-Mediated,B,9,0
Non-Mediated,B,10,50
Non-Mediated,B,11,100
Non-Mediated,B,12,100
Non-Mediated,B,13,100
Non-Mediated,B,14,100
Non-Mediated,B,15,100
Non-Mediated,B,16,100
Non-Mediated,B,17,100
Non-Mediated,B,18,100
Non-Mediated,C,1,100
Non-Mediated,C,2,100
Non-Mediated,C,3,100
Non-Mediated,C,4,100
Non-Mediated,C,5,100
Non-Mediated,C,6,100
Non-Mediated,C,7,100
Non-Mediated,C,8,100
Non-Mediated,C,9,100
Non-Mediated,C,10,100
Non-Mediated,C,11,100
Non-Mediated,C,12,100
Non-Mediated,C,13,100
Non-Mediated,C,14,100
Non-Mediated,C,15,100
Non-Mediated,C,16,100
Non-Mediated,C,17,100
Non-Mediated,C,18,100
Non-Mediated,D,1,100
Non-Mediated,D,2,100
Non-Mediated,D,3,100
Non-Mediated,D,4,100
Non-Mediated,D,5,100
Non-Mediated,D,6,100
Non-Mediated,D,7,100
Non-Mediated,D,8,100
Non-Mediated,D,9,100
Non-Mediated,D,10,100
Non-Mediated,D,11,100
Non-Mediated,D,12,0
Non-Mediated,D,13,100
Non-Mediated,D,14,100
Non-Mediated,D,15,100
Non-Mediated,D,16,100
Non-Mediated,D,17,100
Non-Mediated,D,18,100
Non-Mediated,E,1,100
Non-Mediated,E,2,100
Non-Mediated,E,3,100
Non-Mediated,E,4,100
Non-Mediated,E,5,100
Non-Mediated,E,6,100
Non-Mediated,E,7,100
Non-Mediated,E,8,50
Non-Mediated,E,9,100
Non-Mediated,E,10,100
Non-Mediated,E,11,100
Non-Mediated,E,12,100
Non-Mediated,E,13,100
Non-Mediated,E,14,100
Non-Mediated,E,15,100
Non-Mediated,E,16,100
Non-Mediated,E,17,100
Non-Mediated,E,18,100
Non-Mediated,F,1,100
Non-Mediated,F,2,100
Non-Mediated,F,3,100
Non-Mediated,F,4,0
Non-Mediated,F,5,0
Non-Mediated,F,6,100
Non-Mediated,F,7,100
Non-Mediated,F,8,0
Non-Mediated,F,9,100
Non-Mediated,F,10,100
Non-Mediated,F,11,100
Non-Mediated,F,12,50
Non-Mediated,F,13,100
Non-Mediated,F,14,100
Non-Mediated,F,15,100
Non-Mediated,F,16,100
Non-Mediated,F,17,100
Non-Mediated,F,18,100
Non-Mediated,G,1,100
Non-Mediated,G,2,100
Non-Mediated,G,3,0
Non-Mediated,G,4,0
Non-Mediated,G,5,100
Non-Mediated,G,6,100
Non-Mediated,G,7,100
Non-Mediated,G,8,50
Non-Mediated,G,9,100
Non-Mediated,G,10,50
Non-Mediated,G,11,50
Non-Mediated,G,12,100
Non-Mediated,G,13,100
Non-Mediated,G,14,100
Non-Mediated,G,15,100
Non-Mediated,G,16,50
Non-Mediated,G,17,100
Non-Mediated,G,18,100
Non-Mediated,H,1,100
Non-Mediated,H,2,100
Non-Mediated,H,3,100
Non-Mediated,H,4,100
Non-Mediated,H,5,100
Non-Mediated,H,6,100
Non-Mediated,H,7,100
Non-Mediated,H,8,100
Non-Mediated,H,9,100
Non-Mediated,H,10,100
Non-Mediated,H,11,100
Non-Mediated,H,12,100
Non-Mediated,H,13,100
Non-Mediated,H,14,100
Non-Mediated,H,15,100
Non-Mediated,H,16,100
Non-Mediated,H,17,100
Non-Mediated,H,18,100
Non-Mediated,I,1,100
Non-Mediated,I,2,100
Non-Mediated,I,3,100
Non-Mediated,I,4,100
Non-Mediated,I,5,100
Non-Mediated,I,6,100
Non-Mediated,I,7,100
Non-Mediated,I,8,100
Non-Mediated,I,9,100
Non-Mediated,I,10,100
Non-Mediated,I,11,100
Non-Mediated,I,12,100
Non-Mediated,I,13,50
Non-Mediated,I,14,100
Non-Mediated,I,15,100
Non-Mediated,I,16,100
Non-Mediated,I,17,100
Non-Mediated,I,18,100
Non-Mediated,J,1,100
Non-Mediated,J,2,100
Non-Mediated,J,3,100
Non-Mediated,J,4,100
Non-Mediated,J,5,100
Non-Mediated,J,6,100
Non-Mediated,J,7,100
Non-Mediated,J,8,100
Non-Mediated,J,9,100
Non-Mediated,J,10,100
Non-Mediated,J,11,50
Non-Mediated,J,12,100
Non-Mediated,J,13,100
Non-Mediated,J,14,100
Non-Mediated,J,15,100
Non-Mediated,J,16,100
Non-Mediated,J,17,50
Non-Mediated,J,18,100
Non-Mediated,K,1,100
Non-Mediated,K,2,100
Non-Mediated,K,3,100
Non-Mediated,K,4,0
Non-Mediated,K,5,0
Non-Mediated,K,6,100
Non-Mediated,K,7,100
Non-Mediated,K,8,0
Non-Mediated,K,9,0
Non-Mediated,K,10,100
Non-Mediated,K,11,0
Non-Mediated,K,12,0
Non-Mediated,K,13,100
Non-Mediated,K,14,100
Non-Mediated,K,15,100
Non-Mediated,K,16,50
Non-Mediated,K,17,100
Non-Mediated,K,18,100
Non-Mediated,L,1,100
Non-Mediated,L,2,100
Non-Mediated,L,3,100
Non-Mediated,L,4,100
Non-Mediated,L,5,100
Non-Mediated,L,6,100
Non-Mediated,L,7,100
Non-Mediated,L,8,100
Non-Mediated,L,9,100
Non-Mediated,L,10,100
Non-Mediated,L,11,100
Non-Mediated,L,12,100
