Group,Letter,Participant,Accuracy
Non-Mediated,N,1,100
Non-Mediated,N,2,100
Non-Mediated,N,3,100
Non-Mediated,N,4,100
Non-Mediated,N,5,100
Non-Mediated,N,6,100
Non-Mediated,N,7,100
Non-Mediated,N,8,100
Non-Mediated,N,9,100
Non-Mediated,N,10,100
Non-Mediated,N,11,100
Non-Mediated,N,12,100
Non-Mediated,N,13,100
Non-Mediated,N,14,100
Non-Mediated,N,15,100
Non-Mediated,N,16,50
Non-Mediated,N,17,100
Non-Mediated,N,18,100
Non-Mediated,O,1,100
Non-Mediated,O,2,100
Non-Mediated,O,3,100
Non-Mediated,O,4,100
Non-Mediated,O,5,100
Non-Mediated,O,6,100
Non-Mediated,O,7,100
Non-Mediated,O,8,100
Non-Mediated,O,9,100
Non-Mediated,O,10,50
Non-Mediated,O,11,50
Non-Mediated,O,12,100
Non-Mediated,O,13,100
Non-Mediated,O,14,100
Non-Mediated,O,15,100
Non-Mediated,O,16,100
Non-Mediated,O,17,100
Non-Mediated,O,18,100
Non-Mediated,P,1,100
Non-Mediated,P,2,100
Non-Mediated,P,3,100
Non-Mediated,P,4,100
Non-Mediated,P,5,0
Non-Mediated,P,6,100
Non-Mediated,P,7,100
Non-Mediated,P,8,0
Non-Mediated,P,9,100
Non-Mediated,P,10,100
Non-Mediated,P,11,100
Non-Mediated,P,12,100
Non-Mediated,P,13,100
Non-Mediated,P,14,100
Non-Mediated,P,15,100
Non-Mediated,P,16,100
Non-Mediated,P,17,100
Non-Mediated,P,18,100
Non-Mediated,Q,1,100
Non-Mediated,Q,2,100
Non-Mediated,Q,3,100
Non-Mediated,Q,4,100
Non-Mediated,Q,5,100
Non-Mediated,Q,6,100
Non-Mediated,Q,7,100
Non-Mediated,Q,8,100
Non-Mediated,Q,9,100
Non-Mediated,Q,10,100
Non-Mediated,Q,11,100
Non-Mediated,Q,12,100
Non-Mediated,Q,13,100
Non-Mediated,Q,14,100
Non-Mediated,Q,15,100
Non-Mediated,Q,16,100
Non-Mediated,Q,17,100
Non-Mediated,Q,18,100
Non-Mediated,R,1,100
Non-Mediated,R,2,0
Non-Mediated,R,3,100
Non-Mediated,R,4,0
Non-Mediated,R,5,100
Non-Mediated,R,6,100
Non-Mediated,R,7,50
Non-Mediated,R,8,100
Non-Mediated,R,9,100
Non-Mediated,R,10,50
Non-Mediated,R,11,50
Non-Mediated,R,12,100
Non-Mediated,R,13,100
Non-Mediated,R,14,0
Non-Mediated,R,15,100
Non-Mediated,R,16,0
Non-Mediated,R,17,50
Non-Mediated,R,18,0
Non-Mediated,S,1,100
Non-Mediated,S,2,100
Non-Mediated,S,3,100
